ID;Tipo;Mensagem;Status;Reservatório;Condomínio;Criado em;Atualizado em;Tempo (h)
44;dispositivo_offline;Dispositivo RES_IPE_INF sem comunicação há mais de 69 minutos;aberto;Cisterna;Condomínio Parque Ipê;2026-07-24T11:47:30.184Z;2026-07-24T12:16:30.585Z;11.2
43;nivel_baixo;Nível do reservatório Cisterna em 18% (abaixo de 30%);resolvido;Cisterna;Edifício Monte Belo;2026-07-24T04:58:58.134Z;2026-07-24T12:56:05.589Z;8.0
42;nivel_muito_baixo;Nível crítico no reservatório Cisterna: 10% (abaixo de 15%);resolvido;Cisterna;Edifício Monte Belo;2026-07-23T05:41:36.702Z;2026-07-23T19:08:35.234Z;13.4
41;dispositivo_offline;Dispositivo RES_IPE_SUP sem comunicação há mais de 197 minutos;resolvido;Caixa Superior;Condomínio Parque Ipê;2026-07-21T12:02:18.833Z;2026-07-21T13:26:49.102Z;1.4
40;nivel_baixo;Nível do reservatório Cisterna em 17% (abaixo de 30%);resolvido;Cisterna;Edifício Monte Belo;2026-07-20T12:20:18.738Z;2026-07-21T12:17:55.276Z;24.0
39;nivel_muito_baixo;Nível crítico no reservatório Cisterna: 13% (abaixo de 15%);resolvido;Cisterna;Edifício Monte Belo;2026-07-19T18:30:41.823Z;2026-07-20T06:29:12.241Z;12.0
38;dispositivo_offline;Dispositivo RES_IPE_INF sem comunicação há mais de 212 minutos;resolvido;Cisterna;Condomínio Parque Ipê;2026-07-18T15:52:22.568Z;2026-07-19T01:37:33.442Z;9.8
37;dispositivo_offline;Dispositivo RES_IPE_SUP sem comunicação há mais de 188 minutos;resolvido;Caixa Superior;Condomínio Parque Ipê;2026-07-16T12:07:36.876Z;2026-07-16T18:52:24.390Z;6.7
36;nivel_baixo;Nível do reservatório Cisterna em 20% (abaixo de 30%);resolvido;Cisterna;Edifício Monte Belo;2026-07-15T08:26:41.200Z;2026-07-16T18:14:08.149Z;33.8
35;dispositivo_offline;Dispositivo RES_VVERDE_SUP sem comunicação há mais de 218 minutos;resolvido;Caixa Superior;Residencial Vista Verde;2026-07-12T14:35:59.819Z;2026-07-12T23:23:55.982Z;8.8
34;dispositivo_offline;Dispositivo RES_IPE_SUP sem comunicação há mais de 140 minutos;resolvido;Caixa Superior;Condomínio Parque Ipê;2026-07-12T09:44:45.756Z;2026-07-12T13:53:30.153Z;4.1
33;nivel_baixo;Nível do reservatório Cisterna em 24% (abaixo de 30%);resolvido;Cisterna;Edifício Monte Belo;2026-07-11T07:00:35.484Z;2026-07-12T18:15:31.825Z;35.2
32;dispositivo_offline;Dispositivo RES_IPE_SUP sem comunicação há mais de 78 minutos;resolvido;Caixa Superior;Condomínio Parque Ipê;2026-07-10T22:30:12.009Z;2026-07-11T02:12:42.180Z;3.7
31;dispositivo_offline;Dispositivo RES_IPE_INF sem comunicação há mais de 212 minutos;resolvido;Cisterna;Condomínio Parque Ipê;2026-07-10T12:14:19.431Z;2026-07-10T16:03:43.511Z;3.8
30;nivel_baixo;Nível do reservatório Cisterna em 24% (abaixo de 30%);resolvido;Cisterna;Edifício Monte Belo;2026-07-08T01:30:06.137Z;2026-07-09T02:39:43.914Z;25.2
29;dispositivo_offline;Dispositivo RES_IPE_SUP sem comunicação há mais de 220 minutos;resolvido;Caixa Superior;Condomínio Parque Ipê;2026-07-07T02:43:41.869Z;2026-07-07T11:12:04.645Z;8.5
28;dispositivo_offline;Dispositivo RES_IPE_SUP sem comunicação há mais de 132 minutos;resolvido;Caixa Superior;Condomínio Parque Ipê;2026-07-04T15:20:11.529Z;2026-07-05T02:19:32.546Z;11.0
27;dispositivo_offline;Dispositivo RES_IPE_INF sem comunicação há mais de 188 minutos;resolvido;Cisterna;Condomínio Parque Ipê;2026-07-04T13:34:22.737Z;2026-07-04T22:57:02.323Z;9.4
26;nivel_baixo;Nível do reservatório Cisterna em 25% (abaixo de 30%);resolvido;Cisterna;Edifício Monte Belo;2026-07-03T10:03:06.804Z;2026-07-04T02:06:14.498Z;16.1
25;nivel_baixo;Nível do reservatório Cisterna em 27% (abaixo de 30%);resolvido;Cisterna;Edifício Monte Belo;2026-06-30T00:57:33.307Z;2026-06-30T10:37:55.256Z;9.7
24;dispositivo_offline;Dispositivo RES_IPE_SUP sem comunicação há mais de 184 minutos;resolvido;Caixa Superior;Condomínio Parque Ipê;2026-06-29T09:35:20.575Z;2026-06-29T15:35:24.879Z;6.0
23;dispositivo_offline;Dispositivo RES_IPE_INF sem comunicação há mais de 195 minutos;resolvido;Cisterna;Condomínio Parque Ipê;2026-06-23T02:46:03.581Z;2026-06-23T04:51:19.048Z;2.1
