Dia;Device ID;Reservatório;Condomínio;Leituras;Nível mín (%);Nível médio (%);Nível máx (%);Leituras c/ bomba ligada
2026-07-24T00:00:00.000Z;RES_BVISTA_SUP;Caixa Superior;Condomínio Bela Vista;96;55;62;71;25
2026-07-24T00:00:00.000Z;RES_IPE_SUP;Caixa Superior;Condomínio Parque Ipê;96;60;67;78;23
2026-07-24T00:00:00.000Z;RES_IPE_INF;Cisterna;Condomínio Parque Ipê;16;32;48;61;4
2026-07-24T00:00:00.000Z;RES_MONTE_SUP;Caixa Superior;Edifício Monte Belo;96;51;65;80;24
2026-07-24T00:00:00.000Z;RES_MONTE_INF;Cisterna;Edifício Monte Belo;96;0;18;24;58
2026-07-24T00:00:00.000Z;RES_ACAC_SUP;Caixa Superior;Residencial Jardim das Acácias;96;58;70;75;21
2026-07-24T00:00:00.000Z;RES_ACAC_INF;Cisterna;Residencial Jardim das Acácias;96;44;61;77;29
2026-07-24T00:00:00.000Z;RES_VVERDE_SUP;Caixa Superior;Residencial Vista Verde;96;42;52;57;92
2026-07-23T00:00:00.000Z;RES_BVISTA_SUP;Caixa Superior;Condomínio Bela Vista;96;42;55;67;25
2026-07-23T00:00:00.000Z;RES_IPE_SUP;Caixa Superior;Condomínio Parque Ipê;96;57;72;81;23
2026-07-23T00:00:00.000Z;RES_IPE_INF;Cisterna;Condomínio Parque Ipê;96;40;44;53;27
2026-07-23T00:00:00.000Z;RES_MONTE_SUP;Caixa Superior;Edifício Monte Belo;96;42;57;68;24
2026-07-23T00:00:00.000Z;RES_MONTE_INF;Cisterna;Edifício Monte Belo;96;0;10;25;57
2026-07-23T00:00:00.000Z;RES_ACAC_SUP;Caixa Superior;Residencial Jardim das Acácias;96;54;60;64;21
2026-07-23T00:00:00.000Z;RES_ACAC_INF;Cisterna;Residencial Jardim das Acácias;96;49;60;73;29
2026-07-23T00:00:00.000Z;RES_VVERDE_SUP;Caixa Superior;Residencial Vista Verde;96;35;51;63;89
2026-07-22T00:00:00.000Z;RES_BVISTA_SUP;Caixa Superior;Condomínio Bela Vista;96;46;62;72;25
2026-07-22T00:00:00.000Z;RES_IPE_SUP;Caixa Superior;Condomínio Parque Ipê;96;45;58;68;23
2026-07-22T00:00:00.000Z;RES_IPE_INF;Cisterna;Condomínio Parque Ipê;96;26;41;55;27
2026-07-22T00:00:00.000Z;RES_MONTE_SUP;Caixa Superior;Edifício Monte Belo;96;52;67;77;24
2026-07-22T00:00:00.000Z;RES_MONTE_INF;Cisterna;Edifício Monte Belo;96;0;9;15;57
2026-07-22T00:00:00.000Z;RES_ACAC_SUP;Caixa Superior;Residencial Jardim das Acácias;96;54;67;78;21
2026-07-22T00:00:00.000Z;RES_ACAC_INF;Cisterna;Residencial Jardim das Acácias;96;42;58;65;29
2026-07-22T00:00:00.000Z;RES_VVERDE_SUP;Caixa Superior;Residencial Vista Verde;96;50;56;67;91
2026-07-21T00:00:00.000Z;RES_BVISTA_SUP;Caixa Superior;Condomínio Bela Vista;96;34;49;58;25
2026-07-21T00:00:00.000Z;RES_IPE_SUP;Caixa Superior;Condomínio Parque Ipê;12;49;66;77;3
2026-07-21T00:00:00.000Z;RES_IPE_INF;Cisterna;Condomínio Parque Ipê;96;37;50;60;27
2026-07-21T00:00:00.000Z;RES_MONTE_SUP;Caixa Superior;Edifício Monte Belo;96;74;79;86;24
2026-07-21T00:00:00.000Z;RES_MONTE_INF;Cisterna;Edifício Monte Belo;96;12;19;30;57
2026-07-21T00:00:00.000Z;RES_ACAC_SUP;Caixa Superior;Residencial Jardim das Acácias;96;56;60;64;21
2026-07-21T00:00:00.000Z;RES_ACAC_INF;Cisterna;Residencial Jardim das Acácias;96;54;62;69;29
2026-07-21T00:00:00.000Z;RES_VVERDE_SUP;Caixa Superior;Residencial Vista Verde;96;36;47;65;92
2026-07-20T00:00:00.000Z;RES_BVISTA_SUP;Caixa Superior;Condomínio Bela Vista;96;35;52;57;25
2026-07-20T00:00:00.000Z;RES_IPE_SUP;Caixa Superior;Condomínio Parque Ipê;96;52;65;80;23
2026-07-20T00:00:00.000Z;RES_IPE_INF;Cisterna;Condomínio Parque Ipê;96;27;45;50;27
2026-07-20T00:00:00.000Z;RES_MONTE_SUP;Caixa Superior;Edifício Monte Belo;96;68;76;88;24
2026-07-20T00:00:00.000Z;RES_MONTE_INF;Cisterna;Edifício Monte Belo;96;9;17;27;57
2026-07-20T00:00:00.000Z;RES_ACAC_SUP;Caixa Superior;Residencial Jardim das Acácias;96;54;67;82;21
2026-07-20T00:00:00.000Z;RES_ACAC_INF;Cisterna;Residencial Jardim das Acácias;96;60;65;82;29
2026-07-20T00:00:00.000Z;RES_VVERDE_SUP;Caixa Superior;Residencial Vista Verde;96;34;50;59;90
2026-07-19T00:00:00.000Z;RES_BVISTA_SUP;Caixa Superior;Condomínio Bela Vista;29;51;63;67;8
2026-07-19T00:00:00.000Z;RES_IPE_SUP;Caixa Superior;Condomínio Parque Ipê;96;62;74;84;23
2026-07-19T00:00:00.000Z;RES_IPE_INF;Cisterna;Condomínio Parque Ipê;96;44;48;59;27
2026-07-19T00:00:00.000Z;RES_MONTE_SUP;Caixa Superior;Edifício Monte Belo;96;47;62;80;24
2026-07-19T00:00:00.000Z;RES_MONTE_INF;Cisterna;Edifício Monte Belo;96;1;13;28;56
